#OG_name,Actinidia_deliciosa,Actinidia_arguta,Actinidia_zhejiangensis,Coffea_arabica,Arabidopsis_thaliana,Actinidia_chinensis,Actinidia_eriantha,Actinidia_rufa,Actinidia_hemsleyana,Vitis_vinifera,Rhododendron_simsii,Cycas_panzhihuaensis
OG_9098,25,19,5,4,2,3,3,3,3,10,2,2
OG_9100,22,18,19,7,11,4,4,6,8,2,2,1
OG_9106,13,4,11,1,9,3,3,3,2,3,1,21
OG_9111,11,11,4,2,2,2,2,1,3,1,1,1
OG_9117,17,14,6,3,7,3,4,4,3,2,2,4
OG_9119,2,4,3,2,1,3,1,1,2,2,1,2
OG_9124,6,6,7,10,64,2,4,3,3,1,14,13
OG_9125,28,6,21,4,7,5,7,5,5,2,3,2
OG_9129,27,23,13,3,6,7,5,9,7,2,2,2
OG_9132,47,34,18,8,10,6,8,7,8,2,2,1
OG_9136,8,7,5,2,2,2,2,3,2,28,1,2
OG_9139,22,14,10,7,20,6,4,4,4,1,1,6
OG_9145,32,33,11,5,4,7,5,6,6,4,3,2
OG_9149,12,22,7,11,6,4,5,2,2,2,10,1
OG_9153,26,33,15,18,13,5,6,10,7,20,5,10
OG_9155,21,21,11,27,2,4,3,6,3,2,1,4
OG_9156,15,12,8,7,9,4,4,3,3,8,5,3
OG_9160,11,9,14,6,6,2,2,2,4,4,2,1
OG_9171,43,37,21,5,6,9,8,9,11,3,2,2
OG_9180,17,6,8,24,10,2,4,2,3,3,3,3
OG_9181,6,8,4,6,3,1,1,1,1,1,1,1
OG_9184,14,7,4,3,1,5,2,4,3,1,2,1
OG_9186,12,7,5,9,1,2,3,3,2,3,3,1
OG_9191,9,9,10,3,5,2,2,4,2,1,4,2
OG_9192,5,5,2,2,10,1,1,1,1,1,1,2
OG_9193,34,32,13,39,32,6,9,7,7,6,4,3
OG_9200,44,49,30,51,18,15,2,8,16,18,15,9
OG_9201,17,19,7,9,6,2,2,2,3,5,1,4
OG_9202,11,8,4,21,4,2,2,2,2,4,3,4
OG_9205,7,9,6,3,2,2,1,2,1,7,2,1
OG_9211,11,5,5,6,5,5,2,3,6,1,1,1
OG_9213,13,19,7,4,1,4,4,4,3,1,1,1
OG_9227,12,14,7,10,3,3,2,1,4,2,1,1
OG_9239,11,13,5,5,3,6,3,2,3,5,3,2
OG_9241,21,46,8,17,1,4,1,5,4,1,11,1
OG_9242,12,27,13,16,15,8,6,10,7,7,6,7
OG_9246,21,21,18,2,5,5,5,6,5,1,3,1
OG_9251,8,11,3,1,1,1,3,1,2,1,1,1
OG_9252,15,6,4,2,2,3,1,1,2,1,1,1
OG_9254,11,15,4,1,1,2,2,3,4,1,1,1
OG_9262,74,98,26,95,25,13,10,13,12,16,27,15
OG_9264,24,24,10,3,3,4,4,6,4,1,2,2
OG_9269,12,11,4,4,1,2,2,4,4,2,1,1
OG_9270,25,8,14,34,16,7,3,7,1,18,38,1
OG_9279,5,6,2,5,1,1,1,1,1,2,3,2
OG_9284,23,23,9,12,4,4,4,3,6,3,2,2
OG_9286,11,9,4,4,1,2,2,2,2,1,2,1
OG_9287,16,14,6,15,4,3,3,3,3,6,6,9
OG_9289,7,4,4,3,1,1,1,1,3,1,1,2
OG_9290,32,28,13,26,29,5,11,4,14,19,2,1
OG_9291,8,4,4,39,4,1,1,1,2,12,2,10
OG_9302,12,18,4,5,6,2,3,3,2,2,1,1
OG_9308,6,5,2,1,6,1,1,3,1,1,1,1
OG_9309,13,17,3,2,2,3,2,5,2,1,1,1
OG_9314,5,7,4,1,4,1,1,2,2,1,1,2
OG_9319,15,29,7,17,3,4,4,3,3,2,2,1
OG_9324,28,36,16,12,14,7,8,9,8,2,2,3
OG_9327,5,4,2,2,10,1,1,1,1,1,2,1
OG_9328,14,12,4,21,1,3,2,4,2,1,2,1
OG_9330,18,13,13,12,4,7,12,9,10,5,1,2
OG_9332,6,5,2,5,3,1,1,1,1,1,1,2
OG_9334,9,11,6,3,3,2,2,1,2,1,2,2
OG_9335,7,10,2,5,1,1,2,1,1,4,1,2
OG_9336,10,17,4,4,3,4,4,2,4,1,2,1
OG_9338,16,9,8,1,9,3,3,4,3,2,1,2
OG_9340,25,20,10,1,8,4,6,5,5,2,1,5
OG_9345,7,6,2,1,5,1,1,1,1,1,1,3
OG_9350,5,5,2,2,1,1,1,2,2,1,1,1
OG_9351,6,5,2,1,2,1,1,1,1,2,1,2
OG_9355,8,5,4,27,1,1,1,1,1,1,1,1
OG_9356,12,10,5,2,2,2,3,3,7,1,2,1
OG_9358,84,44,29,36,16,17,17,23,15,16,24,2
OG_9362,9,8,5,9,3,3,3,2,2,2,1,1
OG_9370,9,8,2,2,1,1,1,1,1,1,3,1
OG_9376,6,4,2,16,1,1,2,1,1,3,6,6
OG_9378,11,11,4,4,1,2,2,2,2,1,2,1
OG_9383,36,40,15,3,6,5,8,10,10,2,7,2
OG_9384,12,3,4,2,1,1,2,2,2,1,1,1
OG_9385,12,23,3,1,3,2,3,2,3,1,1,1
OG_9387,6,7,5,1,3,1,3,1,1,1,1,3
OG_9388,6,11,2,7,3,1,1,2,1,3,1,3
OG_9391,11,8,6,3,3,2,3,3,2,4,1,3
OG_9400,35,25,12,3,5,7,6,7,6,2,4,2
OG_9405,6,4,2,1,1,1,1,1,2,1,2,1
OG_9407,10,11,5,3,8,2,2,3,2,2,1,5
OG_9411,11,17,5,2,4,3,3,2,2,2,1,2
OG_9417,18,12,5,4,1,2,5,2,2,1,2,10
OG_9419,23,33,13,18,5,6,5,5,4,5,3,2
OG_9420,11,7,4,6,2,6,2,2,2,1,2,2
OG_9423,9,11,2,1,3,1,1,1,2,2,5,1
OG_9427,9,6,3,15,1,2,2,3,1,2,1,1
OG_9429,12,4,4,1,1,2,2,4,2,1,1,1
OG_9434,10,23,5,9,6,2,1,2,3,1,1,1
OG_9441,12,17,7,5,7,4,2,1,3,3,2,2
OG_9443,18,19,5,5,7,3,2,4,3,3,3,2
OG_9447,5,6,5,5,2,2,3,2,3,3,1,2
OG_9458,42,44,15,31,18,7,7,7,7,11,15,1
OG_9462,13,12,4,5,4,2,2,2,2,1,3,2
OG_9474,9,8,3,2,5,2,2,4,2,2,2,1
OG_9477,22,20,10,28,11,4,6,9,8,13,7,7
OG_9486,6,8,4,13,2,1,4,3,3,1,5,1
OG_9493,6,5,2,4,15,1,1,1,1,6,1,3
OG_9500,8,11,2,3,2,3,1,1,1,1,1,1
OG_9501,6,5,2,3,1,2,1,1,1,1,1,1
OG_9504,22,19,9,2,4,4,4,4,8,1,1,1
OG_9514,11,14,4,1,10,2,3,3,3,1,1,5
OG_9524,10,10,4,2,4,3,1,3,2,1,3,11
OG_9526,12,8,4,2,17,1,2,2,2,3,2,1
OG_9527,15,14,6,2,4,3,3,3,3,2,1,2
OG_9528,6,5,5,6,6,1,1,1,3,1,1,1
OG_9529,19,11,7,4,6,4,5,3,4,3,3,1
OG_9530,12,9,4,3,2,5,3,2,1,3,1,1
OG_9540,4,5,2,8,7,1,2,1,1,1,1,1
OG_9544,10,12,4,1,5,2,3,1,2,1,1,1
OG_9547,52,40,15,8,11,11,10,9,9,5,6,3
OG_9552,18,20,10,2,11,3,5,3,3,2,2,2
OG_9556,10,11,3,9,5,2,1,1,2,2,1,1
OG_9557,10,1,2,5,6,2,2,1,1,2,8,1
OG_9558,13,12,7,2,2,4,4,3,3,4,13,2
OG_9565,20,18,10,27,7,4,4,4,4,2,2,29
OG_9573,6,1,2,1,2,1,1,1,1,1,1,1
OG_9574,16,16,5,1,6,3,3,3,3,2,1,1
OG_9576,12,14,4,10,1,2,3,2,2,4,7,1
OG_9578,4,6,2,2,3,1,1,1,1,4,2,2
OG_9583,61,67,54,4,56,17,29,21,21,6,11,7
OG_9591,18,12,7,4,5,3,4,6,3,2,2,2
OG_9595,24,20,10,4,6,4,5,5,4,3,2,4
OG_9596,6,5,2,2,4,1,1,1,1,1,1,1
OG_9598,25,19,9,6,5,6,7,3,6,4,3,2
OG_9607,6,7,2,6,8,1,1,1,1,3,1,3
OG_9611,9,11,4,2,5,2,2,2,2,1,1,1
OG_9612,6,11,2,6,1,1,1,1,1,2,1,1
OG_9616,12,6,4,1,6,2,2,2,2,1,4,7
OG_9617,14,16,9,4,5,6,1,7,6,2,2,2
OG_9618,20,18,8,2,5,4,3,6,5,1,3,1
OG_9620,12,10,5,5,6,3,2,5,3,1,3,1
OG_9622,18,25,6,5,5,3,3,4,3,2,2,3
OG_9623,11,11,4,4,4,3,2,2,2,1,1,1
OG_9624,11,8,4,1,8,2,3,2,2,2,1,4
OG_9629,33,38,16,14,24,7,3,6,6,2,3,2
OG_9635,14,8,4,26,2,3,3,2,2,4,2,1
OG_9636,13,9,6,2,5,3,3,4,3,1,2,1
OG_9637,12,10,3,9,2,2,1,3,2,3,3,2
OG_9641,11,4,6,2,3,4,4,2,6,1,1,1
OG_9642,9,10,4,2,7,5,4,3,2,2,2,2
OG_9644,10,6,4,2,3,2,2,4,2,1,2,2
OG_9655,7,9,4,3,1,3,3,2,2,1,1,1
OG_9659,22,32,12,2,3,4,4,6,5,2,3,2
OG_9663,13,11,8,2,5,4,2,3,3,1,2,1
OG_9667,29,16,11,4,3,5,5,5,5,3,3,5
OG_9668,11,5,7,4,3,5,2,2,2,1,1,1
OG_9670,7,11,8,9,13,5,4,1,2,1,1,1
OG_9672,24,36,8,5,1,5,3,3,3,1,2,13
OG_9675,24,38,17,16,24,6,7,7,6,9,1,5
OG_9680,23,27,8,2,4,5,4,3,5,1,2,1
OG_9691,13,12,13,5,3,5,3,3,3,1,1,1
OG_9695,11,16,4,1,6,2,2,3,3,1,1,1
OG_9696,10,22,3,3,2,4,4,1,1,1,1,3
OG_9697,6,5,2,4,3,1,1,1,1,1,2,1
OG_9704,40,30,6,2,4,6,5,7,6,3,1,4
OG_9706,16,1,3,2,2,3,3,2,3,1,1,1
OG_9713,15,21,8,10,2,3,4,3,4,2,2,2
OG_9723,31,34,12,25,11,6,9,7,6,10,10,1
OG_9736,16,17,11,3,6,5,7,3,5,1,2,1
OG_9737,14,20,5,17,3,3,3,3,3,2,2,4
OG_9740,11,9,3,15,1,3,1,1,1,1,1,1
OG_9741,11,8,4,2,1,2,2,2,2,1,1,1
OG_9747,6,7,3,2,1,4,1,1,1,1,1,1
OG_9749,14,12,7,4,4,3,5,2,3,4,4,1
OG_9752,17,13,5,1,1,6,5,3,3,1,1,1
OG_9762,45,71,17,12,12,10,10,12,8,4,4,1
OG_9765,11,8,4,3,1,3,3,4,4,1,1,1
OG_9766,100,38,39,6,5,16,8,11,15,11,31,4
OG_9767,13,27,17,4,5,6,2,3,11,2,2,3
OG_9770,6,4,2,14,2,2,1,1,1,1,1,4
OG_9776,23,30,8,3,7,10,8,5,7,2,2,2
OG_9780,23,17,26,4,4,5,1,3,12,2,3,2
OG_9788,10,10,4,4,2,6,4,2,2,1,1,1
OG_9792,36,26,21,12,6,12,12,4,8,1,11,3
OG_9795,10,9,3,8,1,5,2,2,1,1,3,1
OG_9798,9,5,4,24,2,4,2,2,2,1,1,1
OG_9805,39,38,17,4,5,7,5,5,8,2,4,12
OG_9807,10,9,5,2,3,2,2,2,2,1,1,1
OG_9814,47,37,13,7,12,8,9,8,8,3,3,3
OG_9816,18,21,6,2,2,4,3,3,3,4,2,13
OG_9821,27,22,10,4,5,7,6,10,5,3,4,3
OG_9825,12,10,4,1,1,3,3,2,2,2,1,1
OG_9834,43,30,15,3,4,8,4,8,8,2,3,6
OG_9837,7,8,4,2,3,2,4,2,2,1,1,1
OG_9844,5,15,3,4,3,2,1,2,3,1,1,1
OG_9848,16,12,5,6,2,3,1,2,2,1,1,1
OG_9850,21,24,5,3,3,4,6,2,5,1,2,1
OG_9853,22,22,6,4,2,8,5,4,3,2,2,8
OG_9859,16,15,5,2,1,9,3,1,1,1,2,1
OG_9867,21,14,6,4,5,3,3,4,3,3,2,4
OG_9874,15,13,5,2,1,9,4,1,4,1,1,1
OG_9879,6,11,3,1,1,2,3,2,2,2,1,1
OG_9880,12,9,3,4,2,3,2,2,2,1,1,1
OG_9884,16,10,8,1,2,4,1,2,2,1,1,1
